Title,Property_Size,Bedrooms,Bathrooms,Furnishing,Region,Region_Name,Region_Parent_Name,Is_Boost,Price
"3bdrm Duplex in Fashola Estate, Ibeshe / Ikorodu for sale",5000,3,2,Semi-Furnished,"Ikorodu, Ibeshe / Ikorodu",Ibeshe / Ikorodu,Lagos State,Enterprise,82000000.0
"4bdrm Duplex in Ocean Bay, Lekki Phase 2 for sale",150,4,4,Unfurnished,"Lekki, Lekki Phase 2",Lekki Phase 2,Lagos State,Enterprise,140000000.0
3bdrm Apartment in Ogba for sale,150,3,2,Semi-Furnished,"Lagos State, Ogba",Ogba,Lagos State,Enterprise,80000000.0
4bdrm Apartment in Kado for sale,100,4,5,Unfurnished,"Abuja (FCT), Kado",Kado,Abuja (FCT),Basic,500000000.0
"5bdrm Duplex in Amazing Grace New, Ifako-Ijaiye for sale",250,5,5,Semi-Furnished,"Lagos State, Ifako-Ijaiye",Ifako-Ijaiye,Lagos State,Enterprise,300000000.0
Furnished 3bdrm Apartment in Lekki Phase 1 for sale,400,3,3,Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,Premium,300000000.0
3bdrm Block of Flats in New Oko Oba Ifako for sale,1000,3,3,Unfurnished,"Agege, New Oko Oba",New Oko Oba,Lagos State,Enterprise,180000000.0
4bdrm Duplex in Alafia Estate Ogba for sale,330,4,3,Semi-Furnished,"Lagos State, Ogba",Ogba,Lagos State,Enterprise,170000000.0
4bdrm Duplex in New Oko Oba for sale,300,4,4,Semi-Furnished,"Agege, New Oko Oba",New Oko Oba,Lagos State,Enterprise,260000000.0
3bdrm Duplex in Gaduwa for sale,300,3,3,Unfurnished,"Abuja (FCT), Gaduwa",Gaduwa,Abuja (FCT),Enterprise,150000000.0
"3bdrm Block of Flats in 3Bedroom, Allen Avenue for sale",150,3,3,Semi-Furnished,"Ikeja, Allen Avenue",Allen Avenue,Lagos State,Enterprise,100000000.0
5bdrm Duplex in Omole Phase 1 for sale,300,5,4,Semi-Furnished,"Ikeja, Omole Phase 1",Omole Phase 1,Lagos State,Enterprise,550000000.0
4bdrm Duplex in Mabushi for sale,400,4,4,Unfurnished,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),False,450000000.0
5bdrm Duplex in Magodo Gra Phase 1 for sale,350,5,4,Semi-Furnished,"Magodo, GRA Phase 1",GRA Phase 1,Lagos State,Enterprise,650000000.0
4bdrm Duplex in Ikeja Gra for sale,200,4,4,Semi-Furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos State,Enterprise,600000000.0
3bdrm Apartment in Ikeja Gra for sale,200,3,3,Semi-Furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos State,Enterprise,450000000.0
3bdrm Block of Flats in New Oko Oba Abule for sale,620,3,3,Semi-Furnished,"Agege, New Oko Oba",New Oko Oba,Lagos State,Enterprise,170000000.0
4bdrm Duplex in Ifako Ijaiye Ogba for sale,200,4,4,Semi-Furnished,"Agege, Ifako",Ifako,Lagos State,Enterprise,255000000.0
2bdrm Bungalow in New Oko Oba for sale,500,2,2,Semi-Furnished,"Agege, New Oko Oba",New Oko Oba,Lagos State,Enterprise,90000000.0
4bdrm Duplex in Jabi for sale,300,4,4,Unfurnished,"Abuja (FCT), Jabi",Jabi,Abuja (FCT),Enterprise,500000000.0
Furnished 3bdrm Block of Flats in Ago Okota for sale,670,3,4,Furnished,"Isolo, Okota",Okota,Lagos State,VIP,370000000.0
4bdrm Duplex in Fagba Ifako Ijaiye for sale,300,4,3,Semi-Furnished,"Agege, Fagba",Fagba,Lagos State,Enterprise,250000000.0
5bdrm Duplex in Ikeja Gra for sale,500,5,5,Semi-Furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos State,Enterprise,1000000000.0
2bdrm Block of Flats in Omole Phase 1 for sale,550,2,2,Semi-Furnished,"Ikeja, Agidingbi",Agidingbi,Lagos State,Enterprise,580000000.0
3bdrm Apartment in Lsdp Estate Agege for sale,150,3,2,Semi-Furnished,"Lagos State, Agege",Agege,Lagos State,Enterprise,75000000.0
4bdrm Duplex in Ikeja Gra for sale,230,4,4,Semi-Furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos State,Enterprise,750000000.0
3bdrm Block of Flats in Ojodu Berger for sale,620,3,2,Semi-Furnished,"Lagos State, Ojodu",Ojodu,Lagos State,Enterprise,260000000.0
2bdrm Block of Flats in Igando for sale,600,2,2,Semi-Furnished,"Ikotun/Igando, Igando / Ikotun/Igando",Igando / Ikotun/Igando,Lagos State,Enterprise,160000000.0
"4bdrm Duplex in Secured Estate, Alagbado for sale",300,4,4,Unfurnished,"Ifako-Ijaiye, Alagbado",Alagbado,Lagos State,Enterprise,165000000.0
"5bdrm Duplex in Greenwood, Ibeju for sale",600,5,5,Semi-Furnished,"Lagos State, Ibeju",Ibeju,Lagos State,Diamond,170000000.0
3bdrm Duplex in Gbagada Phase 1/ for sale,250,3,4,Semi-Furnished,"Gbagada, Phase 1 / Gbagada",Phase 1 / Gbagada,Lagos State,Enterprise,300000000.0
5bdrm Apartment in Kado for sale,100,5,6,Unfurnished,"Abuja (FCT), Kado",Kado,Abuja (FCT),Basic,500000000.0
"4bdrm Duplex in Peace Garden Estate, Sangotedo for sale",497,4,4,Unfurnished,"Ajah, Sangotedo",Sangotedo,Lagos State,VIP,450000000.0
4bdrm Duplex in High Castle Estate for sale,300,4,4,Semi-Furnished,"Ipaja, Boys Town",Boys Town,Lagos State,Enterprise,160000000.0
"2bdrm Block of Flats in Ajah, Abraham Adesanya Estate for sale",1580,2,2,Unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,VIP,90000000.0
3bdrm Apartment in Gbagada for sale,120,3,2,Semi-Furnished,"Lagos State, Gbagada",Gbagada,Lagos State,Enterprise,150000000.0
2bdrm Block of Flats in Agege for sale,400,2,2,Semi-Furnished,"Lagos State, Agege",Agege,Lagos State,Enterprise,150000000.0
4bdrm Bungalow in New Oko Oba for sale,850,4,3,Semi-Furnished,"Agege, New Oko Oba",New Oko Oba,Lagos State,Enterprise,300000000.0
"Furnished 4bdrm Duplex in Okupe Estate, Mende for sale",400,4,4,Furnished,"Maryland, Mende",Mende,Lagos State,Enterprise,400000000.0
2bdrm Bungalow in New Oko Oba Ifako for sale,450,2,2,Semi-Furnished,"Agege, New Oko Oba",New Oko Oba,Lagos State,Enterprise,100000000.0
5bdrm Duplex in Elliot Iju Ishaga for sale,400,5,5,Semi-Furnished,"Agege, Iju-Ishaga",Iju-Ishaga,Lagos State,Enterprise,230000000.0
"4bdrm Duplex in Emperor Estate, Sangotedo for sale",240,4,4,Semi-Furnished,"Ajah, Sangotedo",Sangotedo,Lagos State,VIP,250000000.0
5bdrm Duplex in Ologolo for sale,341,5,5,Unfurnished,"Lekki, Ologolo",Ologolo,Lagos State,VIP,320000000.0
3bdrm Block of Flats in Igando for sale,310,3,4,Unfurnished,"Ibeju, Igando-Oloja",Igando-Oloja,Lagos State,Premium,55000000.0
"4bdrm Duplex in Citiscape Court, Lokogoma for sale",1800,4,4,Semi-Furnished,"Abuja (FCT), Lokogoma",Lokogoma,Abuja (FCT),VIP,350000000.0
"3bdrm Block of Flats in Ajah, Abraham Adesanya Estate for sale",1450,3,3,Unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,VIP,115000000.0
5bdrm Duplex in Lekki Phase 1 for sale,516,5,5,Semi-Furnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,VIP,750000000.0
Furnished 5bdrm Mansion in Private Estate for sale,700,5,5,Furnished,"Abuja (FCT), Asokoro",Asokoro,Abuja (FCT),Diamond,600000000.0
5bdrm Duplex in Galadimawa for sale,500,5,6,Unfurnished,"Abuja (FCT), Galadimawa",Galadimawa,Abuja (FCT),Vip Gold,800000000.0
4bdrm Apartment in Mabushi for sale,100,4,5,Unfurnished,"Abuja (FCT), Mabushi",Mabushi,Abuja (FCT),Basic,500000000.0
3bdrm Block of Flats in Alakuko Ifako for sale,812,3,3,Unfurnished,"Agege, Ifako",Ifako,Lagos State,Enterprise,170000000.0
5bdrm Duplex in Ikeja Gra for sale,500,5,5,Semi-Furnished,"Ikeja, Ikeja GRA",Ikeja GRA,Lagos State,Enterprise,950000000.0
4bdrm Duplex in Ajah for sale,314,4,4,Semi-Furnished,"Ajah, Ado / Ajah",Ado / Ajah,Lagos State,VIP,250000000.0
2bdrm Apartment in Ogba for sale,120,2,2,Semi-Furnished,"Lagos State, Ogba",Ogba,Lagos State,Enterprise,70000000.0
5bdrm Duplex in Omole Phase 1 for sale,400,5,5,Semi-Furnished,"Ikeja, Omole Phase 1",Omole Phase 1,Lagos State,Enterprise,750000000.0
5bdrm Duplex in Chevron Lekki for sale,500,5,5,Semi-Furnished,"Lekki, Chevron",Chevron,Lagos State,Enterprise,400000000.0
"3bdrm Duplex in Maplewood Estate, New Oko Oba for sale",250,3,3,Semi-Furnished,"Agege, New Oko Oba",New Oko Oba,Lagos State,Enterprise,145000000.0
3bdrm Block of Flats in Lekki Phase 1 for sale,955,3,3,Unfurnished,"Lekki, Lekki Phase 1",Lekki Phase 1,Lagos State,VIP,380000000.0
"2bdrm Block of Flats in Ikate, Lekki for sale",1050,2,2,Unfurnished,"Lekki, Ikate-Elegushi",Ikate-Elegushi,Lagos State,VIP,180000000.0
2bdrm Apartment in Ikate for sale,540,2,2,Unfurnished,"Lekki, Ikate-Elegushi",Ikate-Elegushi,Lagos State,VIP,180000000.0
3bdrm Bungalow in Behind Osinbajo Rail for sale,320,3,3,Semi-Furnished,"Ogun State, Ifo",Ifo,Ogun State,Enterprise,20000000.0
2bdrm Block of Flats in Fagba Ifako Ijaiye for sale,450,2,2,Semi-Furnished,"Agege, Fagba",Fagba,Lagos State,Enterprise,250000000.0
"Furnished 3bdrm Bungalow in Secured Estate, Ibeju for sale",500,3,3,Furnished,"Lagos State, Ibeju",Ibeju,Lagos State,False,75000000.0
"2bdrm Block of Flats in Ajah, Abraham Adesanya Estate for sale",1523,2,2,Unfurnished,"Ajah, Abraham Adesanya Estate",Abraham Adesanya Estate,Lagos State,VIP,85000000.0
"2bdrm Block of Flats in Spg, Lekki, Igbo-efon for sale",1060,2,2,Unfurnished,"Lekki, Igbo-efon",Igbo-efon,Lagos State,VIP,105000000.0
"2bdrm Apartment in Ikoyi, Awolowo Road for sale",130,2,2,Semi-Furnished,"Ikoyi, Awolowo Road",Awolowo Road,Lagos State,Enterprise,270000000.0
3bdrm Block of Flats in Egbeda Alimosho for sale,600,3,3,Semi-Furnished,"Alimosho, Egbeda",Egbeda,Lagos State,Enterprise,200000000.0
6bdrm Duplex in Fagba Ifako Ijaiye for sale,320,6,6,Semi-Furnished,"Agege, Fagba",Fagba,Lagos State,Enterprise,200000000.0
5bdrm Duplex in Gaduwa for sale,567,5,5,Semi-Furnished,"Abuja (FCT), Gaduwa",Gaduwa,Abuja (FCT),False,550000000.0
2bdrm House in New Oko Oba Ifako for sale,250,2,2,Semi-Furnished,"Agege, New Oko Oba",New Oko Oba,Lagos State,Enterprise,70000000.0
"4bdrm Duplex in Otunla, Bogije for sale",600,4,4,Semi-Furnished,"Ibeju, Bogije",Bogije,Lagos State,Diamond,120000000.0
7bdrm Bungalow in Ogba/Egbema/Ndoni for sale,200,7,4,Unfurnished,"Rivers State, Ogba/Egbema/Ndoni",Ogba/Egbema/Ndoni,Rivers State,False,16500000.0
"5bdrm Duplex in Prosperity Esate, Alimosho for sale",400,5,5,Semi-Furnished,"Lagos State, Alimosho",Alimosho,Lagos State,Enterprise,125000000.0
4bdrm Duplex in Medina Estate for sale,400,4,4,Semi-Furnished,"Lagos State, Gbagada",Gbagada,Lagos State,Enterprise,450000000.0
"5bdrm Duplex in College Road Ogba, Ifako for sale",530,5,5,Semi-Furnished,"Agege, Ifako",Ifako,Lagos State,Enterprise,250000000.0
